timestamp,tool,workers,concurrency,duration_sec,rps,transfer_sec_human,transfer_bytes_sec,latency_ms,failed_requests,connect_errors,read_errors,write_errors,timeout_errors,stop_reason
2026-03-05T12:44:32Z,wrk,8,450,8,22637.39,11.29MB,11838423.040,10.020,0,0,0,0,0,continue
2026-03-05T12:44:40Z,wrk,8,550,8,22051.45,11.00MB,11534336.000,11.950,0,0,0,0,0,continue
2026-03-05T12:44:48Z,wrk,8,650,8,21180.20,10.56MB,11072962.560,13.920,0,0,0,0,0,continue
2026-03-05T12:44:56Z,wrk,8,750,8,21317.18,10.63MB,11146362.880,15.610,0,0,0,0,0,continue
2026-03-05T12:45:04Z,wrk,8,850,8,21216.33,10.58MB,11093934.080,18.120,0,0,0,0,0,continue
2026-03-05T12:45:13Z,wrk,8,950,8,20962.77,10.46MB,10968104.960,20.460,0,0,0,0,0,continue
2026-03-05T12:45:21Z,wrk,8,1050,8,20631.64,10.29MB,10789847.040,22.640,31,31,0,0,0,first_socket_error
2026-03-05T12:45:30Z,wrk,16,50,8,20722.36,10.34MB,10842275.840,1.320,0,0,0,0,0,continue
2026-03-05T12:45:38Z,wrk,16,150,8,23520.98,11.73MB,12299796.480,3.730,0,0,0,0,0,continue
2026-03-05T12:45:46Z,wrk,16,250,8,22403.89,11.17MB,11712593.920,5.490,0,0,0,0,0,continue
2026-03-05T12:45:54Z,wrk,16,350,8,22438.31,11.19MB,11733565.440,6.990,0,0,0,0,0,continue
2026-03-05T12:46:02Z,wrk,16,450,8,21812.72,10.88MB,11408506.880,9.140,0,0,0,0,0,continue
2026-03-05T12:46:10Z,wrk,16,550,8,21860.44,10.90MB,11429478.400,11.260,0,0,0,0,0,continue
2026-03-05T12:46:18Z,wrk,16,650,8,21372.19,10.66MB,11177820.160,13.720,0,0,0,0,0,continue
2026-03-05T12:46:27Z,wrk,16,750,8,21479.64,10.71MB,11230248.960,15.020,0,0,0,0,0,continue
2026-03-05T12:46:35Z,wrk,16,850,8,21084.98,10.52MB,11031019.520,16.940,0,0,0,0,0,continue
2026-03-05T12:46:43Z,wrk,16,950,8,21103.87,10.53MB,11041505.280,18.840,0,0,0,0,0,continue
2026-03-05T12:46:51Z,wrk,16,1050,8,20601.34,10.28MB,10779361.280,21.000,31,31,0,0,0,first_socket_error
